Day,Time,Student,Activity,Score
1,18:38:53,S105,Week 1 quiz,0.47
1,18:49:39,S158,Week 1 quiz,0.34
1,18:59:19,S105,Week 1 quiz,0.50
1,19:58:30,S158,Week 1 quiz,0.38
1,20:02:17,S158,Week 1 quiz,0.50
1,20:04:59,S105,Week 1 homework,0.5
1,20:39:07,S158,Week 1 homework,0.5
1,21:04:24,S019,Week 1 quiz,0.38
1,21:32:56,S294,Week 1 quiz,0.42
2,07:14:20,S204,Week 1 quiz,0.47
2,07:34:54,S204,Week 1 quiz,0.46
2,07:38:59,S204,Week 1 quiz,0.50
2,08:39:49,S204,Week 1 homework,0.5
2,09:01:44,S330,Week 1 homework,0.5
2,10:09:07,S146,Week 1 quiz,0.50
2,10:33:23,S108,Week 1 quiz,0.43
2,10:37:50,S016,Week 1 quiz,0.36
2,10:39:50,S083,Week 1 quiz,0.38
2,10:40:56,S024,Week 1 homework,0.5
2,10:57:29,S130,Week 1 quiz,0.50
2,11:07:59,S279,Week 1 quiz,0.50
2,11:14:31,S223,Week 1 homework,-
2,11:14:42,S223,Week 1 quiz,0.42
2,11:18:20,S016,Week 1 homework,0.5
2,11:20:23,S329,Week 1 quiz,0.48
2,11:22:21,S146,Week 1 homework,-
2,11:28:34,S108,Week 1 quiz,0.46
2,11:31:19,S279,Week 1 homework,0.5
2,11:33:50,S108,Week 1 quiz,0.50
2,11:34:31,S016,Week 1 quiz,0.43
2,11:38:41,S219,Week 1 quiz,0.33
2,11:41:00,S016,Week 1 quiz,0.50
2,11:43:13,S121,Week 1 homework,-
2,11:49:37,S265,Week 1 quiz,0.38
2,11:57:22,S144,Week 1 quiz,0.37
2,12:05:41,S117,Week 1 homework,0.5
2,12:08:51,S370,Week 1 quiz,0.49
2,12:09:29,S355,Week 1 quiz,0.47
2,12:10:24,S273,Week 1 quiz,0.33
2,12:29:08,S024,Week 1 quiz,0.38
2,12:36:23,S292,Week 1 quiz,0.47
2,12:38:52,S035,Week 1 quiz,0.46
2,12:42:02,S024,Week 1 quiz,0.38
2,12:42:46,S052,Week 1 quiz,0.46
2,12:43:00,S355,Week 1 homework,0.5
2,12:47:25,S024,Week 1 quiz,0.46
2,12:50:27,S374,Week 1 homework,0.5
2,12:50:49,S024,Week 1 quiz,0.50
2,12:57:39,S132,Week 1 quiz,0.46
2,12:57:40,S292,Week 1 quiz,0.46
2,12:59:35,S292,Week 1 quiz,0.50
2,13:05:52,S132,Week 1 quiz,0.50
2,13:09:29,S302,Week 1 quiz,0.31
2,13:10:41,S179,Week 1 quiz,0.47
2,13:11:41,S321,Week 1 quiz,0.47
2,13:13:08,S376,Week 1 quiz,0.38
2,13:14:39,S310,Week 1 quiz,0.44
2,13:16:43,S035,Week 1 quiz,0.48
2,13:19:30,S208,Week 1 quiz,0.48
2,13:19:56,S321,Week 1 quiz,0.46
2,13:22:17,S152,Week 1 quiz,0.44
2,13:22:44,S321,Week 1 quiz,0.50
2,13:25:22,S121,Week 1 quiz,0.50
2,13:26:12,S363,Week 1 quiz,0.43
2,13:28:29,S245,Week 1 homework,-
2,13:29:43,S376,Week 1 quiz,0.49
2,13:30:28,S310,Week 1 quiz,0.46
2,13:31:30,S044,Week 1 homework,0.5
2,13:34:32,S371,Week 1 homework,0.5
2,13:35:13,S310,Week 1 quiz,0.50
2,13:35:59,S376,Week 1 quiz,0.46
2,13:37:43,S371,Week 1 quiz,0.47
2,13:37:45,S376,Week 1 quiz,0.46
2,13:38:08,S302,Week 1 homework,0.5
2,13:38:38,S321,Week 1 homework,0.5
2,13:40:40,S376,Week 1 quiz,0.46
2,13:40:56,S363,Week 1 quiz,0.41
2,13:41:24,S347,Week 1 quiz,0.50
2,13:42:05,S370,Week 1 quiz,0.50
2,13:42:47,S152,Week 1 homework,0.5
2,13:44:28,S079,Week 1 quiz,0.46
2,13:44:50,S371,Week 1 quiz,0.46
2,13:46:27,S363,Week 1 quiz,0.50
2,13:46:50,S069,Week 1 quiz,0.33
2,13:47:27,S044,Week 1 quiz,0.39
2,13:47:33,S371,Week 1 quiz,0.42
2,13:49:23,S073,Week 1 homework,0.5
2,13:52:26,S371,Week 1 quiz,0.50
2,13:53:55,S363,Week 1 quiz,0.00
2,13:55:44,S152,Week 1 homework,0.5
2,13:58:55,S044,Week 1 quiz,0.39
2,14:02:21,S044,Week 1 quiz,0.48
2,14:11:11,S324,Week 1 quiz,0.38
2,14:17:01,S132,Week 1 homework,0.5
2,14:32:50,S070,Week 1 quiz,0.43
2,14:33:25,S324,Week 1 quiz,0.44
2,14:35:06,S132,Week 1 homework,0.5
2,14:36:44,S238,Week 1 quiz,0.45
2,14:37:24,S324,Week 1 quiz,0.48
2,14:55:18,S093,Week 1 quiz,0.38
2,14:59:40,S070,Week 1 quiz,0.41
2,15:04:04,S335,Week 1 homework,-
2,15:07:08,S070,Week 1 quiz,0.46
2,15:07:23,S052,Week 1 homework,0.5
2,15:07:35,S335,Week 1 quiz,0.32
2,15:08:21,S093,Week 1 quiz,0.46
2,15:10:42,S093,Week 1 quiz,0.46
2,15:12:29,S093,Week 1 quiz,0.46
2,15:14:27,S093,Week 1 quiz,0.50
2,15:17:16,S052,Week 1 homework,0.5
2,15:17:32,S335,Week 1 quiz,0.43
2,15:18:58,S288,Week 1 homework,0.5
2,15:20:03,S335,Week 1 quiz,0.49
2,15:20:54,S288,Week 1 quiz,0.05
2,15:21:44,S244,Week 1 quiz,0.44
2,15:22:45,S196,Week 1 quiz,0.39
2,15:23:11,S335,Week 1 quiz,0.50
2,15:25:02,S378,Week 1 homework,-
2,15:28:37,S238,Week 1 homework,0.5
2,15:30:20,S320,Week 1 quiz,0.48
2,15:30:58,S244,Week 1 quiz,0.42
2,15:32:52,S326,Week 1 homework,0.5
2,15:33:41,S244,Week 1 quiz,0.50
2,15:34:11,S196,Week 1 quiz,0.44
2,15:34:12,S324,Week 1 homework,0.5
2,15:42:05,S196,Week 1 quiz,0.50
2,15:44:16,S320,Week 1 quiz,0.50
2,15:45:48,S330,Week 1 quiz,0.33
2,15:49:13,S324,Week 1 quiz,0.50
2,15:58:42,S128,Week 1 quiz,0.40
2,16:06:30,S330,Week 1 quiz,0.43
2,16:07:26,S073,Week 1 homework,0.5
2,16:08:41,S124,Week 1 quiz,0.46
2,16:10:10,S330,Week 1 quiz,0.50
2,16:11:15,S196,Week 1 homework,0.5
2,16:12:22,S244,Week 1 homework,0.5
2,16:17:35,S292,Week 1 homework,0.5
2,16:22:11,S073,Week 1 homework,-
2,16:23:19,S073,Week 1 homework,0.5
2,16:23:19,S171,Week 1 homework,-
2,16:23:48,S049,Week 1 quiz,0.44
2,16:25:33,S287,Week 1 quiz,0.49
2,16:30:20,S370,Week 1 homework,0.5
2,16:30:52,S049,Week 1 quiz,0.49
2,16:31:47,S073,Week 1 quiz,0.50
2,16:39:29,S081,Week 1 quiz,0.43
2,16:40:24,S087,Week 1 homework,0.5
2,16:42:24,S049,Week 1 quiz,0.50
2,16:44:07,S268,Week 1 quiz,0.43
2,16:48:58,S124,Week 1 quiz,0.50
2,17:00:08,S350,Week 1 quiz,0.43
2,17:04:48,S311,Week 1 quiz,0.40
2,17:07:42,S093,Week 1 homework,0.5
2,17:09:14,S332,Week 1 quiz,0.38
2,17:15:21,S332,Week 1 quiz,0.46
2,17:18:13,S332,Week 1 quiz,0.50
2,17:19:56,S350,Week 1 quiz,0.47
2,17:21:29,S187,Week 1 homework,0.5
2,17:23:06,S350,Week 1 quiz,0.50
2,17:25:02,S212,Week 1 quiz,0.36
2,17:26:57,S332,Week 1 homework,0.5
2,17:28:53,S325,Week 1 quiz,0.40
2,17:31:21,S212,Week 1 quiz,0.46
2,17:32:52,S157,Week 1 quiz,0.48
2,17:33:36,S212,Week 1 quiz,0.50
2,17:34:30,S129,Week 1 quiz,0.34
2,17:34:56,S112,Week 1 quiz,0.50
2,17:36:40,S157,Week 1 quiz,0.50
2,17:48:56,S207,Week 1 homework,0.5
2,17:55:21,S187,Week 1 quiz,0.50
2,17:56:43,S212,Week 1 homework,0.5
2,18:00:35,S299,Week 1 homework,0.5
2,18:04:27,S130,Week 1 homework,0.5
2,18:08:31,S153,Week 1 quiz,0.44
2,18:15:47,S256,Week 1 quiz,0.41
2,18:18:41,S294,Week 1 quiz,0.50
2,18:19:37,S112,Week 1 homework,0.5
2,18:23:51,S256,Week 1 quiz,0.43
2,18:28:50,S299,Week 1 quiz,0.42
2,18:29:58,S294,Week 1 homework,0.5
2,18:32:43,S033,Week 1 quiz,0.26
2,18:35:47,S299,Week 1 quiz,0.41
2,18:37:08,S331,Week 1 homework,0.5
2,18:43:53,S079,Week 1 quiz,0.46
2,18:46:26,S079,Week 1 quiz,0.46
2,18:49:21,S079,Week 1 quiz,0.50
2,19:33:13,S104,Week 1 quiz,0.41
2,19:34:25,S297,Week 1 quiz,0.43
2,19:37:45,S320,Week 1 homework,0.5
2,19:39:14,S104,Week 1 quiz,0.50
2,19:40:32,S033,Week 1 homework,0.5
2,19:46:25,S033,Week 1 quiz,0.43
2,19:55:15,S108,Week 1 homework,-
2,20:09:48,S033,Week 1 quiz,0.43
2,20:10:07,S271,Week 1 quiz,0.32
2,20:12:47,S033,Week 1 quiz,0.47
2,20:24:46,S377,Week 1 quiz,0.46
2,20:31:33,S027,Week 1 quiz,0.48
2,20:31:47,S153,Week 1 homework,-
2,20:31:53,S377,Week 1 quiz,0.50
2,20:37:32,S027,Week 1 quiz,0.46
2,20:39:28,S027,Week 1 quiz,0.50
2,20:43:06,S099,Week 1 quiz,0.45
2,20:47:04,S311,Week 1 homework,0.5
2,20:51:22,S271,Week 1 homework,0.5
2,20:56:19,S181,Week 1 quiz,0.50
2,21:16:55,S030,Week 1 quiz,0.35
2,21:25:54,S084,Week 1 quiz,0.40
2,21:26:37,S008,Week 1 quiz,0.50
2,21:28:49,S157,Week 1 homework,0.5
2,21:34:32,S030,Week 1 quiz,0.45
