Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore
S001,F,Novice,7.0,2.0,4.0,7.0,9.0,6.0,5.0,9.0,7.0,13.0,34.0,5.0,8.0,9.0,8.0,3.0,1.0,5.0,11.0,5.0,8.0,6.0,2.0,16.0,2.0,2.0,6.0,1.0,3.0,82.4,B,0.5,0.5,0.5,0.5,0.35,0.5,0.5,0.5,0.49,0.0,0.5,0.5,0.5,0.29,0.47,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.21,0.5,0.48,0.33
S002,M,Proficient,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,5.0,1.0,6.0,93.0,A,0.5,0.5,0.5,0.46,0.5,0.5,0.44,0.5,0.5,0.5,0.45,0.42,0.36,0.47,0.5,0.5,0.5,0.44,0.5,0.45,0.5,0.4,0.4,0.5,0.5,0.5,0.48,0.5,0.49
S003,F,Novice,1.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,15.0,1.0,1.0,2.0,1.0,4.0,2.0,6.0,7.0,4.0,4.0,2.0,3.0,2.0,74.9,C,0.5,0.5,0.5,0.49,0.5,0.49,0.49,0.5,0.43,0.5,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.37,0.5,0.5,0.5,0.43,0.48,0.5,0.49,0.5,0.5,0.5,0.5
S004,M,Proficient,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,3.0,4.0,3.0,1.0,7.0,1.0,6.0,2.0,1.0,98.9,A,0.5,0.5,0.5,0.5,0.5,0.48,0.45,0.5,0.48,0.5,0.44,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S005,F,Novice,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,39.0,6.0,1.0,6.0,87.12,B,0.5,0.5,0.5,0.44,0.5,0.47,0.5,0.5,0.39,0.38,0.48,0.5,0.41,0.0,0.5,0.5,0.5,0.44,0.5,0.43,0.5,0.42,0.5,0.5,0.5,0.4,0.5,0.5,0.37
S006,F,Novice,6.0,5.0,9.0,6.0,7.0,3.0,6.0,7.0,5.0,3.0,2.0,4.0,5.0,6.0,4.0,2.0,1.0,4.0,1.0,2.0,10.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,75.6,C,0.5,0.5,0.5,0.47,0.5,0.27,0.42,0.5,0.44,0.5,0.45,0.5,0.39,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.45,0.48,0.44,0.5,0.43,0.5,0.36
S007,M,Proficient,3.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,8.0,2.0,0.0,10.0,6.0,2.0,4.0,1.0,0.0,7.0,0.0,88.55,B,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.49,0.5,0.48,0.45,0.45,0.46,0.48,0.5,0.5,0.5,0.5,0.48,0.5,0.5
S008,M,Proficient,5.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,4.0,6.0,4.0,4.0,1.0,1.0,1.0,0.0,93.6,A,0.5,0.5,0.5,0.49,0.5,0.44,0.5,0.5,0.48,0.5,0.45,0.31,0.49,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.46
S009,M,Expert,2.0,4.0,4.0,5.0,1.0,3.0,1.0,3.0,7.0,1.0,2.0,3.0,3.0,25.0,2.0,1.0,2.0,2.0,3.0,2.0,11.0,2.0,11.0,6.0,12.0,4.0,1.0,7.0,6.0,92.3,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.46,0.5,0.5,0.5,0.5,0.45,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.5,0.5,0.5
S010,F,Proficient,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0,5.0,1.0,6.0,4.0,2.0,2.0,4.0,92.5,A,0.5,0.49,0.5,0.48,0.5,0.49,0.46,0.44,0.41,0.5,0.5,0.17,0.45,0.34,0.5,0.5,0.5,0.43,0.5,0.4,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5
