Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework_maxscore,Week 1 quiz_maxscore,Week 10 homework_maxscore,Week 10 quiz_maxscore,Week 11 homework_maxscore,Week 11 quiz_maxscore,Week 12 quiz_maxscore,Week 13 homework_maxscore,Week 13 quiz_maxscore,Week 14 homework_maxscore,Week 14 quiz_maxscore,Week 15 homework_maxscore,Week 15 quiz_maxscore,Week 16 quiz_maxscore,Week 2 homework_maxscore,Week 2 quiz_maxscore,Week 3 homework_maxscore,Week 3 quiz_maxscore,Week 4 homework_maxscore,Week 4 quiz_maxscore,Week 5 homework_maxscore,Week 5 quiz_maxscore,Week 6 quiz_maxscore,Week 7 homework_maxscore,Week 7 quiz_maxscore,Week 8 homework_maxscore,Week 8 quiz_maxscore,Week 9 homework_maxscore,Week 9 quiz_maxscore,Week 1 homework_firstscore,Week 1 quiz_firstscore,Week 10 homework_firstscore,Week 10 quiz_firstscore,Week 11 homework_firstscore,Week 11 quiz_firstscore,Week 12 quiz_firstscore,Week 13 homework_firstscore,Week 13 quiz_firstscore,Week 14 homework_firstscore,Week 14 quiz_firstscore,Week 15 homework_firstscore,Week 15 quiz_firstscore,Week 16 quiz_firstscore,Week 2 homework_firstscore,Week 2 quiz_firstscore,Week 3 homework_firstscore,Week 3 quiz_firstscore,Week 4 homework_firstscore,Week 4 quiz_firstscore,Week 5 homework_firstscore,Week 5 quiz_firstscore,Week 6 quiz_firstscore,Week 7 homework_firstscore,Week 7 quiz_firstscore,Week 8 homework_firstscore,Week 8 quiz_firstscore,Week 9 homework_firstscore,Week 9 quiz_firstscore,Week 1 homework_lastscore,Week 1 quiz_lastscore,Week 10 homework_lastscore,Week 10 quiz_lastscore,Week 11 homework_lastscore,Week 11 quiz_lastscore,Week 12 quiz_lastscore,Week 13 homework_lastscore,Week 13 quiz_lastscore,Week 14 homework_lastscore,Week 14 quiz_lastscore,Week 15 homework_lastscore,Week 15 quiz_lastscore,Week 16 quiz_lastscore,Week 2 homework_lastscore,Week 2 quiz_lastscore,Week 3 homework_lastscore,Week 3 quiz_lastscore,Week 4 homework_lastscore,Week 4 quiz_lastscore,Week 5 homework_lastscore,Week 5 quiz_lastscore,Week 6 quiz_lastscore,Week 7 homework_lastscore,Week 7 quiz_lastscore,Week 8 homework_lastscore,Week 8 quiz_lastscore,Week 9 homework_lastscore,Week 9 quiz_lastscore,attempts_sum,maxscore_sum,cluster_label,Logistic Regression,K-Nearest Neighbors,Support Vector Machine,Decision Tree
S001,F,Novice,7.0,2.0,4.0,7.0,9.0,6.0,5.0,9.0,7.0,13.0,34.0,5.0,8.0,9.0,8.0,3.0,1.0,5.0,11.0,5.0,8.0,6.0,2.0,16.0,2.0,2.0,6.0,1.0,3.0,82.4,B,0.5,0.5,0.5,0.5,0.35,0.5,0.5,0.5,0.49,0.0,0.5,0.5,0.5,0.29,0.47,0.21,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.17,0.5,0.48,0.33,0.5,0.34,0.22,0.33,0.35,0.22,0.27,0.06,0.11,0.0,0.2,0.08,0.05,0.14,0.26,0.21,0.16,0.26,0.2,0.15,0.26,0.17,0.17,0.21,0.37,0.17,0.21,0.0,0.18,0.5,0.5,0.5,0.5,0.35,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.29,0.47,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.17,0.5,0.48,0.28,204.0,12.739999999999998,0,0,0,0,0
S002,M,Proficient,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,5.0,1.0,6.0,93.0,A,0.5,0.5,0.5,0.45,0.5,0.5,0.44,0.5,0.5,0.5,0.45,0.42,0.36,0.47,0.5,0.5,0.5,0.41,0.5,0.38,0.5,0.39,0.4,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.4,0.44,0.45,0.5,0.5,0.44,0.39,0.5,0.5,0.45,0.0,0.36,0.47,0.5,0.48,0.5,0.41,0.5,0.38,0.47,0.39,0.4,0.33,0.5,0.5,0.48,0.25,0.49,0.5,0.5,0.5,0.45,0.5,0.5,0.44,0.5,0.5,0.5,0.45,0.42,0.36,0.47,0.5,0.5,0.5,0.41,0.5,0.38,0.5,0.39,0.4,0.5,0.5,0.5,0.48,0.5,0.49,57.0,13.640000000000002,1,1,1,1,1
S003,F,Novice,1.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,15.0,1.0,1.0,2.0,1.0,4.0,2.0,6.0,7.0,4.0,4.0,2.0,3.0,2.0,74.9,C,0.5,0.48,0.44,0.48,0.35,0.49,0.48,0.44,0.43,0.5,0.5,0.5,0.5,0.41,0.5,0.43,0.48,0.3,0.5,0.5,0.5,0.39,0.48,0.5,0.48,0.0,0.5,0.48,0.5,0.5,0.48,0.39,0.41,0.0,0.45,0.48,0.44,0.43,0.0,0.39,0.5,0.5,0.32,0.5,0.43,0.24,0.3,0.5,0.5,0.16,0.39,0.48,0.44,0.48,0.0,0.45,0.18,0.35,0.5,0.48,0.44,0.48,0.35,0.49,0.48,0.44,0.43,0.5,0.5,0.5,0.5,0.41,0.5,0.43,0.48,0.0,0.5,0.5,0.5,0.2,0.48,0.5,0.48,0.0,0.5,0.48,0.5,86.0,13.040000000000003,1,1,1,1,1
S004,M,Proficient,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,3.0,4.0,3.0,1.0,7.0,1.0,6.0,2.0,1.0,98.9,A,0.5,0.5,0.5,0.5,0.5,0.48,0.39,0.5,0.48,0.5,0.44,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19,0.4,0.5,0.48,0.39,0.44,0.48,0.38,0.44,0.5,0.47,0.38,0.5,0.5,0.41,0.39,0.39,0.45,0.45,0.49,0.5,0.44,0.5,0.02,0.36,0.5,0.36,0.5,0.5,0.5,0.5,0.5,0.48,0.39,0.5,0.48,0.5,0.44,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68.0,14.14,1,1,1,1,1
S006,F,Novice,6.0,5.0,9.0,6.0,7.0,3.0,6.0,7.0,5.0,3.0,2.0,4.0,5.0,6.0,4.0,2.0,1.0,4.0,1.0,2.0,10.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,75.6,C,0.5,0.38,0.5,0.47,0.0,0.0,0.36,0.0,0.26,0.0,0.32,0.0,0.39,0.39,0.5,0.48,0.5,0.42,0.5,0.4,0.42,0.39,0.45,0.42,0.4,0.0,0.31,0.2,0.36,0.5,0.32,0.14,0.4,0.0,0.0,0.36,0.0,0.26,0.0,0.32,0.0,0.39,0.39,0.4,0.48,0.5,0.18,0.3,0.34,0.42,0.39,0.45,0.42,0.4,0.0,0.31,0.0,0.36,0.5,0.38,0.5,0.47,0.0,0.0,0.36,0.0,0.26,0.0,0.32,0.0,0.39,0.39,0.5,0.0,0.5,0.0,0.5,0.4,0.42,0.39,0.05,0.42,0.4,0.0,0.31,0.2,0.36,108.0,9.32,0,0,0,0,0
S007,M,Proficient,3.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,8.0,2.0,0.0,10.0,6.0,2.0,4.0,1.0,0.0,7.0,0.0,88.55,B,0.5,0.48,0.22,0.48,0.15,0.44,0.0,0.0,0.47,0.5,0.5,0.0,0.0,0.41,0.5,0.47,0.47,0.48,0.45,0.45,0.0,0.43,0.46,0.46,0.48,0.29,0.42,0.18,0.4,0.5,0.43,0.19,0.48,0.15,0.44,0.0,0.0,0.47,0.0,0.5,0.0,0.0,0.41,0.47,0.31,0.36,0.32,0.33,0.45,0.0,0.43,0.46,0.38,0.48,0.29,0.31,0.0,0.4,0.5,0.48,0.22,0.48,0.15,0.44,0.0,0.0,0.47,0.5,0.5,0.0,0.0,0.41,0.5,0.4,0.47,0.48,0.45,0.45,0.0,0.43,0.1,0.46,0.48,0.29,0.42,0.18,0.4,74.0,10.09,1,1,1,1,1
S008,M,Proficient,5.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,4.0,6.0,4.0,4.0,1.0,1.0,1.0,0.0,93.6,A,0.5,0.5,0.44,0.43,0.5,0.43,0.43,0.5,0.42,0.5,0.39,0.0,0.0,0.0,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.43,0.49,0.5,0.5,0.5,0.45,0.5,0.38,0.5,0.36,0.17,0.33,0.5,0.43,0.43,0.5,0.31,0.5,0.39,0.0,0.0,0.0,0.47,0.41,0.34,0.33,0.45,0.5,0.29,0.43,0.48,0.35,0.5,0.0,0.38,0.36,0.38,0.5,0.5,0.44,0.43,0.5,0.43,0.43,0.5,0.42,0.5,0.39,0.0,0.0,0.0,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.43,0.49,0.5,0.5,0.5,0.45,0.5,0.33,72.0,12.27,1,1,1,1,1
S009,M,Expert,2.0,4.0,4.0,5.0,1.0,3.0,1.0,3.0,7.0,1.0,2.0,3.0,3.0,25.0,2.0,1.0,2.0,2.0,3.0,2.0,11.0,2.0,11.0,6.0,12.0,4.0,1.0,7.0,6.0,92.3,A,0.5,0.47,0.5,0.43,0.5,0.5,0.5,0.44,0.46,0.5,0.5,0.5,0.5,0.0,0.47,0.47,0.5,0.5,0.5,0.5,0.47,0.45,0.46,0.48,0.5,0.48,0.5,0.48,0.43,0.5,0.43,0.0,0.43,0.0,0.41,0.4,0.44,0.4,0.38,0.05,0.33,0.39,0.0,0.34,0.36,0.16,0.46,0.47,0.45,0.0,0.45,0.38,0.21,0.5,0.0,0.4,0.25,0.4,0.5,0.47,0.5,0.43,0.5,0.5,0.5,0.44,0.15,0.5,0.5,0.5,0.5,0.0,0.47,0.44,0.5,0.5,0.5,0.5,0.47,0.45,0.46,0.48,0.5,0.48,0.5,0.48,0.0,136.0,13.49,0,0,0,0,0
S010,F,Proficient,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0,5.0,1.0,6.0,4.0,2.0,2.0,4.0,92.5,A,0.5,0.49,0.5,0.48,0.5,0.49,0.46,0.44,0.41,0.5,0.5,0.17,0.45,0.34,0.5,0.5,0.5,0.43,0.5,0.4,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.06,0.48,0.12,0.43,0.46,0.33,0.41,0.12,0.39,0.0,0.33,0.34,0.41,0.37,0.14,0.43,0.26,0.4,0.47,0.32,0.38,0.48,0.5,0.36,0.41,0.5,0.5,0.5,0.49,0.5,0.48,0.5,0.49,0.46,0.44,0.41,0.5,0.5,0.17,0.45,0.34,0.5,0.5,0.5,0.43,0.5,0.4,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,70.0,13.410000000000002,1,1,1,1,1
S012,M,Intermediate,4.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,F,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.33,0.0,0.0,0.44,0.17,0.49,0.0,0.5,0.0,0.0,0.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.33,0.0,0.0,0.31,0.0,0.49,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.33,0.0,0.0,0.44,0.17,0.49,0.0,0.5,0.0,0.0,24.0,3.9299999999999997,2,2,2,2,2
