Day,Time,Student,Activity,Score
1,09:43:47,S124,Week 1 homework,0.0
1,09:44:28,S124,Week 1 homework,0.26
1,09:45:43,S124,Week 1 homework,0.5
1,13:21:00,S248,Week 1 quiz,0.28
1,14:57:17,S261,Week 1 quiz,0.44
1,15:06:39,S261,Week 1 quiz,0.38
1,15:07:52,S025,Week 1 quiz,0.49
1,15:19:48,S261,Week 1 homework,0.26
1,15:48:37,S422,Week 1 quiz,0.42
1,16:37:45,S349,Week 1 homework,0.5
1,16:41:12,S349,Week 1 quiz,0.39
1,17:02:07,S132,Week 1 quiz,0.36
1,17:30:23,S349,Week 1 quiz,0.48
1,17:37:54,S132,Week 1 quiz,0.42
1,17:38:22,S349,Week 1 quiz,0.47
1,17:44:48,S349,Week 1 quiz,0.48
1,17:49:05,S016,Week 1 quiz,0.31
1,17:54:27,S190,Week 1 homework,0.5
1,17:56:31,S190,Week 1 quiz,0.33
1,18:18:47,S190,Week 1 quiz,0.43
1,18:19:23,S422,Week 1 quiz,0.49
1,18:26:51,S422,Week 1 quiz,0.50
1,18:30:35,S190,Week 1 quiz,0.47
1,18:43:16,S422,Week 1 homework,0.5
1,19:20:17,S444,Week 1 quiz,0.43
1,19:26:01,S036,Week 1 homework,0.5
1,19:44:57,S444,Week 1 quiz,0.46
1,19:47:23,S062,Week 1 homework,0.5
1,19:48:28,S444,Week 1 quiz,0.48
1,19:51:30,S062,Week 1 quiz,0.48
1,19:52:23,S444,Week 1 quiz,0.50
1,20:07:31,S062,Week 1 quiz,0.50
1,21:36:54,S299,Week 1 quiz,0.34
1,22:00:13,S047,Week 1 quiz,0.42
1,22:23:35,S245,Week 1 quiz,0.49
1,22:55:55,S002,Week 1 homework,0.5
1,23:14:06,S110,Week 1 quiz,0.41
1,23:18:16,S245,Week 1 homework,0.5
1,23:36:20,S070,Week 1 quiz,0.40
1,23:55:02,S344,Week 1 quiz,0.38
1,23:58:06,S003,Week 1 quiz,0.48
2,00:11:48,S070,Week 1 quiz,0.41
2,00:46:11,S093,Week 1 quiz,0.48
2,09:30:28,S299,Week 1 quiz,0.42
2,10:06:39,S036,Week 1 quiz,0.46
2,10:10:30,S332,Week 1 quiz,0.43
2,10:17:33,S429,Week 1 quiz,0.41
2,10:21:56,S232,Week 1 quiz,0.35
2,10:29:43,S123,Week 1 quiz,0.42
2,10:33:56,S258,Week 1 quiz,0.48
2,10:36:58,S332,Week 1 quiz,0.43
2,10:39:59,S247,Week 1 quiz,0.34
2,10:44:05,S123,Week 1 quiz,0.43
2,10:47:37,S258,Week 1 quiz,0.46
2,10:47:43,S332,Week 1 quiz,0.50
2,10:52:19,S084,Week 1 quiz,0.45
2,10:55:17,S073,Week 1 quiz,0.42
2,10:56:13,S036,Week 1 quiz,0.48
2,11:07:36,S258,Week 1 quiz,0.48
2,11:11:47,S258,Week 1 quiz,0.50
2,11:14:30,S036,Week 1 quiz,0.49
2,11:17:59,S084,Week 1 quiz,0.39
2,11:19:45,S073,Week 1 quiz,0.45
2,11:20:06,S036,Week 1 quiz,0.50
2,11:21:20,S197,Week 1 homework,-
2,11:24:54,S306,Week 1 quiz,0.32
2,11:27:47,S278,Week 1 quiz,0.33
2,11:39:21,S319,Week 1 quiz,0.41
2,11:40:15,S073,Week 1 homework,-
2,11:40:48,S055,Week 1 quiz,0.48
2,11:45:58,S258,Week 1 homework,0.5
2,11:48:51,S066,Week 1 quiz,0.50
2,11:56:39,S115,Week 1 quiz,0.39
2,11:58:55,S035,Week 1 quiz,0.49
2,12:01:21,S323,Week 1 quiz,0.37
2,12:05:00,S079,Week 1 homework,0.26
2,12:06:56,S414,Week 1 homework,0.26
2,12:07:59,S066,Week 1 homework,0.5
2,12:11:05,S018,Week 1 quiz,0.42
2,12:12:22,S079,Week 1 quiz,0.44
2,12:17:51,S394,Week 1 quiz,0.41
2,12:22:26,S096,Week 1 quiz,0.48
2,12:25:31,S180,Week 1 quiz,0.00
2,12:25:58,S018,Week 1 quiz,0.48
2,12:28:12,S015,Week 1 quiz,0.35
2,12:34:41,S306,Week 1 quiz,0.37
2,12:35:56,S226,Week 1 quiz,0.35
2,12:36:46,S394,Week 1 quiz,0.41
2,12:37:55,S115,Week 1 quiz,0.37
2,12:38:54,S053,Week 1 quiz,0.48
2,12:39:18,S406,Week 1 quiz,0.48
2,12:43:15,S035,Week 1 homework,0.5
2,12:43:18,S440,Week 1 quiz,0.36
2,12:47:31,S293,Week 1 homework,0.5
2,12:47:49,S394,Week 1 quiz,0.50
2,12:48:16,S246,Week 1 homework,0.5
2,12:49:08,S246,Week 1 quiz,0.47
2,12:52:09,S293,Week 1 quiz,0.40
2,12:52:43,S232,Week 1 quiz,0.45
2,12:53:41,S248,Week 1 quiz,0.30
2,12:53:58,S344,Week 1 homework,0.5
2,12:54:15,S145,Week 1 quiz,0.45
2,12:54:23,S440,Week 1 quiz,0.35
2,12:54:28,S010,Week 1 homework,0.5
2,12:54:55,S291,Week 1 quiz,0.47
2,12:56:51,S293,Week 1 quiz,0.41
2,12:58:59,S115,Week 1 quiz,0.47
2,12:59:03,S017,Week 1 quiz,0.49
2,13:00:22,S293,Week 1 quiz,0.44
2,13:01:00,S232,Week 1 quiz,0.47
2,13:03:10,S259,Week 1 homework,-
2,13:04:07,S218,Week 1 quiz,0.49
2,13:05:22,S232,Week 1 quiz,0.49
2,13:05:47,S344,Week 1 quiz,0.43
2,13:06:24,S356,Week 1 homework,-
2,13:07:24,S145,Week 1 homework,-
2,13:07:36,S359,Week 1 homework,-
2,13:07:45,S404,Week 1 homework,0.26
2,13:08:14,S070,Week 1 quiz,0.43
2,13:08:17,S394,Week 1 homework,0.5
2,13:09:02,S404,Week 1 quiz,0.41
2,13:09:10,S145,Week 1 homework,0.26
2,13:10:15,S150,Week 1 quiz,0.43
2,13:10:43,S232,Week 1 quiz,0.50
2,13:10:55,S344,Week 1 quiz,0.45
2,13:12:06,S293,Week 1 quiz,0.47
2,13:12:50,S275,Week 1 quiz,0.39
2,13:13:03,S259,Week 1 quiz,0.30
2,13:14:19,S356,Week 1 homework,0.5
2,13:14:44,S002,Week 1 quiz,0.40
2,13:16:34,S359,Week 1 quiz,0.49
2,13:16:45,S356,Week 1 quiz,0.33
2,13:17:01,S293,Week 1 quiz,0.47
2,13:17:03,S353,Week 1 quiz,0.49
2,13:17:15,S344,Week 1 quiz,0.46
2,13:17:50,S100,Week 1 quiz,0.47
2,13:17:55,S277,Week 1 quiz,0.34
2,13:18:15,S053,Week 1 homework,0.5
2,13:18:19,S010,Week 1 quiz,0.45
2,13:19:19,S433,Week 1 quiz,0.41
2,13:20:53,S293,Week 1 quiz,0.49
2,13:21:58,S116,Week 1 quiz,0.43
2,13:22:03,S260,Week 1 quiz,0.43
2,13:22:08,S344,Week 1 quiz,0.49
2,13:22:43,S232,Week 1 homework,0.5
2,13:24:21,S005,Week 1 quiz,0.50
2,13:24:32,S038,Week 1 quiz,0.49
2,13:24:49,S406,Week 1 homework,-
2,13:25:14,S434,Week 1 homework,0.26
2,13:25:36,S344,Week 1 quiz,0.50
2,13:26:19,S100,Week 1 quiz,0.43
2,13:26:19,S212,Week 1 homework,0.26
2,13:26:25,S293,Week 1 quiz,0.50
2,13:29:20,S291,Week 1 homework,-
2,13:29:21,S413,Week 1 quiz,0.39
2,13:30:48,S353,Week 1 quiz,0.46
2,13:31:57,S303,Week 1 homework,0.5
2,13:32:18,S140,Week 1 quiz,0.46
2,13:32:26,S291,Week 1 homework,0.5
2,13:33:46,S002,Week 1 quiz,0.45
2,13:35:36,S179,Week 1 quiz,0.28
2,13:36:11,S100,Week 1 quiz,0.50
2,13:37:36,S056,Week 1 homework,-
2,13:38:08,S406,Week 1 homework,0.26
2,13:38:38,S275,Week 1 quiz,0.43
2,13:39:11,S010,Week 1 quiz,0.49
2,13:40:07,S056,Week 1 quiz,0.47
2,13:40:28,S404,Week 1 quiz,0.45
2,13:41:45,S002,Week 1 quiz,0.50
2,13:46:57,S404,Week 1 quiz,0.50
2,13:47:52,S140,Week 1 homework,0.5
2,13:47:53,S008,Week 1 quiz,0.36
2,13:49:08,S100,Week 1 homework,0.26
2,13:49:24,S038,Week 1 quiz,0.49
2,13:52:23,S270,Week 1 quiz,0.48
2,13:54:08,S070,Week 1 homework,0.5
2,13:54:42,S419,Week 1 quiz,0.38
2,13:56:25,S105,Week 1 quiz,0.49
2,13:56:45,S253,Week 1 quiz,0.45
2,13:56:51,S038,Week 1 quiz,0.50
2,13:58:09,S420,Week 1 homework,0.26
2,14:00:31,S420,Week 1 quiz,0.47
2,14:02:12,S311,Week 1 quiz,0.50
2,14:03:57,S356,Week 1 quiz,0.33
2,14:06:19,S253,Week 1 quiz,0.48
2,14:06:48,S008,Week 1 quiz,0.43
2,14:07:49,S451,Week 1 quiz,0.39
2,14:11:05,S290,Week 1 quiz,0.44
2,14:13:27,S420,Week 1 quiz,0.50
2,14:14:17,S253,Week 1 quiz,0.50
2,14:16:49,S255,Week 1 quiz,0.37
2,14:17:55,S038,Week 1 homework,0.26
2,14:22:43,S053,Week 1 quiz,0.50
2,14:24:47,S253,Week 1 homework,0.5
2,14:26:15,S008,Week 1 quiz,0.48
2,14:35:06,S008,Week 1 quiz,0.48
2,14:35:29,S076,Week 1 quiz,0.48
2,14:37:34,S244,Week 1 quiz,0.41
2,14:38:13,S418,Week 1 quiz,0.49
2,14:38:53,S080,Week 1 quiz,0.44
2,14:40:43,S221,Week 1 quiz,0.43
2,14:41:07,S233,Week 1 quiz,0.39
2,14:41:09,S290,Week 1 homework,0.5
2,14:44:04,S072,Week 1 homework,0.5
2,14:45:40,S244,Week 1 quiz,0.50
2,14:46:22,S008,Week 1 quiz,0.50
2,14:46:44,S400,Week 1 quiz,0.36
2,14:51:39,S281,Week 1 homework,-
2,14:53:56,S018,Week 1 homework,0.5
2,14:56:22,S281,Week 1 homework,0.5
2,14:56:56,S378,Week 1 homework,-
2,14:58:15,S080,Week 1 quiz,0.48
2,14:59:21,S418,Week 1 homework,0.5
2,15:06:40,S233,Week 1 quiz,0.43
2,15:09:02,S008,Week 1 homework,0.5
2,15:10:45,S080,Week 1 homework,-
2,15:15:42,S080,Week 1 homework,-
2,15:17:06,S080,Week 1 homework,-
2,15:17:19,S080,Week 1 homework,-
2,15:17:57,S259,Week 1 quiz,0.44
2,15:27:15,S233,Week 1 quiz,0.49
2,15:29:00,S226,Week 1 quiz,0.44
2,15:31:21,S400,Week 1 quiz,0.44
2,15:32:19,S355,Week 1 quiz,0.50
2,15:43:51,S311,Week 1 homework,0.5
2,15:59:09,S312,Week 1 homework,-
2,15:59:27,S334,Week 1 homework,-
2,16:01:43,S312,Week 1 homework,-
2,16:04:56,S072,Week 1 quiz,0.43
2,16:06:00,S233,Week 1 homework,0.5
2,16:07:02,S372,Week 1 quiz,0.41
2,16:10:13,S334,Week 1 quiz,0.43
2,16:17:47,S355,Week 1 homework,0.5
2,16:20:39,S406,Week 1 homework,0.26
2,16:22:09,S406,Week 1 homework,0.5
2,16:23:36,S059,Week 1 homework,0.26
2,16:25:31,S406,Week 1 homework,0.5
2,16:28:27,S072,Week 1 quiz,0.50
2,16:28:40,S043,Week 1 quiz,0.49
2,16:32:02,S334,Week 1 quiz,0.45
2,16:33:07,S378,Week 1 quiz,0.44
2,16:34:33,S017,Week 1 homework,0.26
2,16:36:30,S247,Week 1 quiz,0.35
2,16:37:36,S029,Week 1 quiz,0.38
2,16:48:32,S255,Week 1 quiz,0.45
2,16:49:17,S136,Week 1 quiz,0.32
2,16:50:46,S090,Week 1 quiz,0.40
2,16:52:21,S247,Week 1 quiz,0.44
2,16:53:58,S055,Week 1 homework,0.5
2,16:59:43,S462,Week 1 quiz,0.46
2,17:01:02,S353,Week 1 homework,0.5
2,17:02:43,S247,Week 1 quiz,0.48
2,17:03:05,S195,Week 1 quiz,0.43
2,17:04:37,S136,Week 1 quiz,0.45
2,17:04:41,S355,Week 1 homework,-
2,17:05:28,S206,Week 1 quiz,0.48
2,17:07:36,S462,Week 1 quiz,0.46
2,17:07:50,S226,Week 1 homework,0.5
2,17:08:16,S255,Week 1 quiz,0.47
2,17:11:26,S247,Week 1 quiz,0.49
2,17:11:29,S090,Week 1 quiz,0.38
2,17:12:01,S136,Week 1 quiz,0.46
2,17:14:20,S326,Week 1 quiz,0.47
2,17:16:35,S136,Week 1 quiz,0.49
2,17:16:55,S462,Week 1 quiz,0.49
2,17:17:27,S090,Week 1 quiz,0.42
2,17:18:14,S247,Week 1 quiz,0.49
2,17:19:58,S462,Week 1 homework,0.5
2,17:21:50,S206,Week 1 quiz,0.48
2,17:23:28,S076,Week 1 quiz,0.48
2,17:23:28,S247,Week 1 quiz,0.49
2,17:24:03,S405,Week 1 homework,-
2,17:24:15,S312,Week 1 quiz,0.46
