Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore,Sum1,Sum2
S001,F,Novice,7,2,4,7,9,6,5,9,7,13,34,5,8,9,8,3,1,5,11,5,8,6,2,16,2,2,6,1,3,82.4,B,0.5,0.5,0.5,0.5,0.35,0.5,0.5,0.5,0.49,0,0.5,0.5,0.5,0.29,0.47,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.21,0.5,0.48,0.33,204,13.02
S002,M,Proficient,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,4,1,4,7,1,5,1,6,93,A,0.5,0.5,0.5,0.46,0.5,0.5,0.44,0.5,0.5,0.5,0.45,0.42,0.36,0.47,0.5,0.5,0.5,0.44,0.5,0.45,0.5,0.4,0.4,0.5,0.5,0.5,0.48,0.5,0.49,57,13.76
S003,F,Novice,1,3,5,1,3,1,1,2,2,4,3,1,1,3,1,15,1,1,2,1,4,2,6,7,4,4,2,3,2,74.9,C,0.5,0.5,0.5,0.49,0.5,0.49,0.49,0.5,0.43,0.5,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.37,0.5,0.5,0.5,0.43,0.48,0.5,0.49,0.5,0.5,0.5,0.5,86,14.08
S004,M,Proficient,1,1,3,2,4,1,1,3,3,2,1,1,1,1,1,1,2,1,8,2,3,4,3,1,7,1,6,2,1,98.9,A,0.5,0.5,0.5,0.5,0.5,0.48,0.45,0.5,0.48,0.5,0.44,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,68,14.2
S005,F,Novice,1,2,3,1,3,3,2,1,1,1,1,3,1,2,1,0,1,1,2,2,4,3,2,5,2,39,6,1,6,87.12,B,0.5,0.5,0.5,0.44,0.5,0.47,0.5,0.5,0.39,0.38,0.48,0.5,0.41,0,0.5,0.5,0.5,0.44,0.5,0.43,0.5,0.42,0.5,0.5,0.5,0.4,0.5,0.5,0.37,100,13.13
S006,F,Novice,6,5,9,6,7,3,6,7,5,3,2,4,5,6,4,2,1,4,1,2,10,1,2,2,4,0,0,0,1,75.6,C,0.5,0.5,0.5,0.47,0.5,0.27,0.42,0.5,0.44,0.5,0.45,0.5,0.39,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.45,0.48,0.44,0.5,0.43,0.5,0.36,108,13.49
S007,M,Proficient,3,4,4,2,1,2,1,2,1,1,1,0,1,1,0,1,1,8,8,2,0,10,6,2,4,1,0,7,0,88.55,B,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.49,0.5,0.48,0.45,0.45,0.46,0.48,0.5,0.5,0.5,0.5,0.48,0.5,0.5,74,13.29
S008,M,Proficient,5,3,2,1,4,2,1,3,2,2,1,1,3,1,0,0,1,3,3,6,7,4,6,4,4,1,1,1,0,93.6,A,0.5,0.5,0.5,0.49,0.5,0.44,0.5,0.5,0.48,0.5,0.45,0.31,0.49,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.46,72,14.06
S009,M,Expert,2,4,4,5,1,3,1,3,7,1,2,3,3,25,2,1,2,2,3,2,11,2,11,6,12,4,1,7,6,92.3,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.46,0.5,0.5,0.5,0.5,0.45,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.5,0.5,0.5,136,14.29
S010,F,Proficient,2,5,1,1,3,1,1,2,1,1,2,1,1,3,2,1,1,2,6,3,4,2,5,1,6,4,2,2,4,92.5,A,0.5,0.49,0.5,0.48,0.5,0.49,0.46,0.44,0.41,0.5,0.5,0.17,0.45,0.34,0.5,0.5,0.5,0.43,0.5,0.4,0.5,0.47,0.38,0.5,0.5,0.5,0.5,0.5,0.5,70,13.41
S012,M,Intermediate,4,3,1,1,0,3,1,1,0,0,1,0,0,0,0,0,1,3,0,0,0,4,1,0,0,0,0,0,0,21.75,F,0.5,0.5,0.5,0.5,0.5,0.46,0.43,0.44,0.5,0.5,0.48,0.5,0.5,0.39,0.5,0.5,0.5,0.45,0.43,0.48,0,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.45,24,13.45
S013,M,Proficient,1,6,14,6,7,3,5,4,5,6,4,5,2,4,1,0,0,3,20,9,13,3,17,13,5,0,0,0,0,95.61,A,0.5,0.5,0.5,0.49,0.5,0.44,0.47,0.5,0.4,0.5,0.45,0.47,0.16,0.39,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.45,0.5,0.49,0.5,0.5,0.5,0.46,156,13.63
S014,M,Intermediate,4,4,2,1,2,2,1,2,1,1,1,0,1,2,1,1,1,1,3,1,4,3,2,6,5,3,1,2,5,98.84,A,0.5,0.5,0.5,0.5,0.5,0.43,0,0.5,0.4,0.5,0.43,0.5,0.38,0.49,0.5,0.46,0.5,0.44,0.5,0.45,0.5,0.48,0.45,0.5,0.5,0.5,0.5,0.5,0.45,63,13.36
S015,F,Proficient,4,3,2,3,3,3,1,1,3,2,1,4,1,4,0,2,1,4,4,3,2,2,5,3,6,2,4,0,0,97.48,A,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.47,0,0.45,0.28,0.3,0.35,0.5,0.49,0.5,0.41,0.5,0.48,0.5,0.45,0.48,0.5,0.49,0.02,0.48,0.5,0.48,73,12.57
S016,M,Intermediate,2,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,3,2,6,1,1,2,1,1,5,3,0,0,0,56.57,E,0.5,0.5,0.28,0.47,0.38,0.44,0.49,0.44,0.45,0.33,0.39,0,0.37,0.45,0.5,0.5,0.48,0.43,0.33,0.39,0.43,0.48,0.47,0.4,0.49,0.29,0.42,0.25,0.5,43,11.85
S017,M,Intermediate,1,2,0,1,2,1,1,0,1,1,0,1,1,0,0,0,3,2,4,1,1,2,1,1,1,0,1,0,0,47.14,F,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.47,0.46,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.45,0.5,0.5,0.49,0.5,0.48,0.5,0.48,29,14.21
S018,M,Proficient,2,4,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,5,8,1,2,1,2,4,8,100.5,A,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.44,0.46,0.5,0.49,0.5,0.5,0.43,0.5,0.5,0.5,0.45,0.5,0.45,0.5,0.49,0.46,0.5,0.5,0.5,0.5,0.5,0.48,63,14.12
S019,M,Intermediate,4,3,4,2,2,3,1,1,1,1,0,1,0,2,0,0,1,1,1,1,5,3,1,1,1,0,1,0,0,66.29,D,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.37,0.28,0.46,0.22,0.42,0.36,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.38,0.5,0.5,0.5,41,13.36
S020,M,Intermediate,1,3,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,11,2,10,8,5,5,5,2,3,0,2,91.01,A,0.5,0.39,0.5,0.45,0.5,0.5,0.49,0.5,0.49,0.5,0.3,0.5,0.47,0.46,0.5,0.45,0.47,0.49,0.5,0.45,0.47,0.45,0.47,0.5,0.5,0.5,0.5,0.5,0.45,80,13.75
S021,F,Beginner,2,2,2,4,1,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,0,1,0,0,60.42,D,0.5,0.5,0.47,0.5,0.33,0.44,0.45,0.5,0.45,0,0.35,0,0.3,0.38,0.5,0.48,0,0.42,0.33,0.39,0.42,0.4,0.33,0.44,0.5,0.02,0.48,0.18,0.41,31,10.47
S022,F,Intermediate,2,1,2,1,5,2,2,2,1,3,1,3,6,2,3,1,2,5,5,4,7,5,1,4,0,2,1,0,0,51.74,E,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.46,0.5,0.5,0.31,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.26,0.5,0.5,0.5,73,13.82
S023,F,Beginner,5,7,5,8,5,7,2,4,3,2,4,3,3,3,1,2,2,3,7,9,17,5,20,7,12,0,2,0,0,65.8,D,0.5,0.5,0.42,0.49,0,0.47,0.5,0.44,0.48,0,0.43,0,0.34,0.37,0.5,0.49,0.26,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.32,148,11.99
S024,F,Novice,5,6,7,8,7,3,4,4,4,2,1,1,3,0,0,0,1,1,1,1,5,3,4,0,5,0,0,0,0,88.05,B,0.5,0.5,0.5,0.48,0.5,0.43,0.47,0.5,0.4,0.5,0.39,0.41,0.47,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,76,13.89
S026,F,-,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,68.9,D,0.5,0.5,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.36,0.5,0.25,0.49,0.31,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.33,0.5,0.5,0.49,35,13.6
S027,F,Intermediate,5,3,4,3,4,1,4,3,3,3,3,2,4,3,2,3,1,1,2,1,3,2,3,2,3,1,2,4,5,99,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,80,14.46
S028,M,Novice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,0,3,2,1,7,3,1,86.85,B,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.44,0.5,0.44,0.5,0.49,0.39,0.5,0.48,0.38,0.45,0.5,0.46,0.5,0.5,0.46,0.5,0.5,0.5,0.48,0.29,0.47,44,13.68
S029,M,Novice,2,3,4,4,5,2,1,2,2,1,1,2,2,1,0,1,1,1,6,4,20,5,3,13,15,5,5,3,0,85.56,B,0.5,0.5,0.5,0.45,0.5,0,0.5,0.44,0.37,0.5,0.48,0,0,0.36,0.5,0.45,0.5,0.5,0.29,0.4,0.5,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.45,114,12.17
S030,M,Proficient,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,6,5,2,4,4,4,14,5,5,2,1,2,72.65,C,0.5,0.5,0.39,0.5,0.5,0.45,0.47,0.5,0.5,0.5,0.39,0.04,0.44,0.31,0.5,0.46,0.36,0.47,0.5,0.48,0.5,0.48,0.48,0.5,0.5,0.31,0.45,0.32,0.33,76,12.63
S031,M,Beginner,1,3,4,2,4,5,2,1,1,3,0,0,0,2,0,2,2,6,8,5,5,9,6,15,2,0,0,0,0,68.14,D,0.5,0.47,0.47,0.46,0,0.45,0.4,0.44,0.48,0,0.34,0.47,0.4,0,0.5,0.41,0.47,0.33,0.5,0.4,0.5,0.45,0.43,0.5,0.5,0.48,0.5,0.5,0.44,88,11.79
S033,F,Intermediate,2,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,80.97,B,0.5,0.47,0.22,0.48,0,0.41,0.44,0.5,0.46,0.28,0.45,0,0.33,0,0.5,0.47,0.5,0.49,0.5,0.4,0.5,0.34,0.39,0.5,0.5,0.4,0.34,0.5,0.31,23,11.18
S034,F,Intermediate,1,1,1,4,2,4,1,1,2,1,1,1,1,1,2,1,1,1,6,2,15,4,4,6,2,1,1,1,3,97.7,A,0.5,0.5,0.5,0.48,0.35,0.5,0.43,0.44,0.44,0.5,0.45,0.5,0.5,0.41,0.5,0.49,0.5,0.48,0.5,0.5,0.47,0.45,0.5,0.42,0.5,0.38,0.48,0.5,0.5,72,13.67
